packet_count,total_length,avg_packet_interval,max_packet_interval,most_common_packet_interval,avg_packet_length,max_packet_length,min_packet_length,most_common_packet_length,avg_payload_length,avg_header_length,network,session
1371,1115943,0.04357236810218978,7.812919900000001,0.0,813.9628008752735,1292,76,1274,0.0,813.9628008752735,instagram,24
1760,1527086,0.029417456850483227,7.5174610999999985,0.0,867.6625,1292,76,1274,0.0,867.6625,instagram,25
1299,1109541,0.04291921117103236,20.981553500000004,0.0,854.1501154734411,1292,76,1274,0.0,854.1501154734411,instagram,26
993,830375,0.06046919012096775,23.479214999999996,0.0,836.2286002014099,1292,72,1274,0.0,836.2286002014099,instagram,27
1377,1185260,0.04344449985465117,19.2428487,0.0,860.7552650689905,1292,75,1274,818.7552650689905,42.0,instagram,28
1635,1455443,0.03065596211750306,6.022565700000001,0.0,890.1792048929664,1292,76,1274,848.1792048929664,42.0,instagram,29
1489,1329253,0.039690166868279565,12.681463199999996,0.0,892.7152451309604,1292,75,1274,850.7152451309604,42.0,instagram,30
1746,1576731,0.03415615020057306,7.599210300000003,0.0,903.053264604811,1292,75,1274,861.053264604811,42.0,instagram,31
1504,1324353,0.03515157425149701,11.602445799999998,0.0,880.5538563829788,1292,75,1274,838.5538563829788,42.0,instagram,32
1458,1270342,0.04115480295126973,15.382392300000001,0.0,871.2908093278463,1292,74,1274,829.2908093278463,42.0,instagram,33
871,782240,0.04817405597701151,21.979069300000003,0.0,898.0941446613089,1292,76,1274,856.0941446613089,42.0,instagram,34
1572,1442468,0.036526828771483125,13.945000999999998,0.0,917.6005089058524,1292,76,1274,875.6005089058524,42.0,instagram,35
1559,1293431,0.02931083453145058,7.249862599999998,0.0,829.6542655548428,1292,76,1274,0.0,829.6542655548428,instagram,36
1714,1519298,0.0350069841214244,13.7700688,0.0,886.4049008168028,1292,76,1274,0.0,886.4049008168028,instagram,37
1306,1202445,0.045972657471264375,15.467168099999995,0.0,920.708269525268,1292,76,1274,878.708269525268,42.0,instagram,38
1826,1697239,0.031798060547945206,9.309222599999998,0.0,929.4846659364732,1292,76,1274,887.4846659364732,42.0,instagram,39
1615,1385343,0.03460625291201983,9.4376802,0.0,857.7975232198143,1292,75,1274,815.7975232198143,42.0,instagram,40
456,240566,0.13182268483516482,8.1324692,0.0,527.5570175438596,6954,54,60,25.219298245614034,502.3377192982456,target,01
1128,1242402,0.05170815980479148,14.900346399999997,0.0,1101.4202127659576,16460,54,60,430.32712765957444,671.093085106383,target,02
1265,1126074,0.04671035411392406,6.138021900000005,0.0,890.1770750988143,11094,54,60,109.34387351778656,780.8332015810277,target,03
639,547035,0.08702169326018809,8.917853800000003,0.0,856.0798122065728,5574,54,60,107.36932707355243,748.7104851330204,target,04
1243,1654021,0.044561467954911435,4.531841499999999,0.0,1330.668543845535,16460,54,1434,630.082059533387,700.5864843121481,target,05
336,249364,0.17035210447761193,19.061280499999995,0.0,742.1547619047619,4194,54,60,29.645833333333332,712.5089285714286,target,06
